Company Name,Rating,No_of_Reviews,No_of_Followers,Tags,Type,Year Founded,Company Size,HQ Location,Website,Company Type,company size category
Entra Solutions,3.6,(92 reviews),0,"Financial Services, Private, Corporate, B2B",Private,2015 (9 yrs old),51-200,,https://www.entrasolution.com/,Corporate,Small
Konverge Technologies,4.4,(57 reviews),0,"IT Services & Consulting, Hardware & Networking, Private, Corporate, B2B",Private,2003 (21 yrs old),51-200,,http://www.konverge.co.in,Corporate,Small
EWALL Solutions,4.0,(7 reviews),0,"IT Services & Consulting, Financial Services, Private, Corporate, B2B",Private,2013 (11 yrs old),Nov-50,,https://www.ewallsolutions.com/,Corporate,Small
K7 Computing,4.1,(85 reviews),0,"IT Services & Consulting, Hardware & Networking, Software Product, Private, Corporate, B2B",Private,1991 (33 yrs old),501-1000,,https://www.k7computing.com/in/,Corporate,Medium
City Union Bank,,,0,"Banking, Financial Services, Public, Corporate, B2C",Public,1904 (120 yrs old),5001-10000,Kumbakonam.,,Corporate,Medium
J M BAXI,4.2,(148 reviews),0,"Ports & Shipping, Urban Transport, Private, Corporate, B2B",Private,1916 (108 yrs old),501-1000,,http://www.jmbaxi.com,Corporate,Medium
GRT Jewellers,4.3,(264 reviews),0,"Gems & Jewellery, Private, Corporate, B2C, B2B",Private,1964 (60 yrs old),5001-10000,,,Corporate,Medium
DSS Imagetech,4.4,(61 reviews),0,"Medical Devices & Equipment, Private, Corporate, B2B",Private,1998 (26 yrs old),501-1000,,http://www.dssimage.com,Corporate,Medium
Clario,3.8,(35 reviews),0,"Clinical Research / Contract Research, Medical Services / Hospital, Pharmaceutical & Life Sciences, Private, Corporate, Foreign MNC, B2B, SaaS",Private,1963 (61 yrs old),1001-5000,"Bengaluru/Bangalore, Karnataka",https://clario.com/,Corporate,Medium
Eskag Pharma,,,0,"Pharmaceutical & Life Sciences, Corporate",,1977 (47 yrs old),51-200,,http://eskag.in/,Corporate,Small
RIC Projects,3.7,(62 reviews),0,"Water Treatment / Waste Management, Private, Corporate, B2B",Private,1996 (28 yrs old),51-200,,https://ricprojects.in/,Corporate,Small
Jaipur Rugs,4.4,(380 reviews),0,"Furniture & Furnishing, Private, Corporate, B2B",Private,1978 (46 yrs old),201-500,,http://www.jaipurrugs.com,Corporate,Medium
KLJ GROUP,3.7,(184 reviews),0,"Petrochemical / Plastics / Rubber, Public, Corporate, B2B",Public,1967 (57 yrs old),,,http://kljgroup.com/index.html,Corporate,
VK Building Services,3.7,(109 reviews),0,"Engineering & Construction, Miscellaneous, Private, Corporate, B2B",Private,2009 (15 yrs old),201-500,"Bengaluru/Bangalore, Karnataka",http://www.vkbs.in,Corporate,Medium
Navigators Software,4.0,(137 reviews),0,"IT Services & Consulting, Software Product, Private, Corporate, B2B",Private,1999 (25 yrs old),51-200,,http://www.thenavsoft.com,Corporate,Small
Kids Age,5.0,(3 reviews),0,"Printing & Publishing, Private, Corporate, B2C",Private,2006 (18 yrs old),Nov-50,,https://kidsage.in/,Corporate,Small
Jyothy Labs,4.2,(466 reviews),272 followers ,"FMCG, Private, Corporate, B2C",Private,1983 (41 yrs old),1001-5000,"Mumbai, Maharashtra",https://www.jyothylabs.com/,Corporate,Medium
Kohinoor Business School,,,0,"Education / Training, Private, Corporate, B2C",Private,2005 (19 yrs old),Nov-50,,https://kohinoor.edu.in/#,Corporate,Small
ARG Personnel Network,,,0,"Recruitment / Staffing, Private, Corporate, B2B",Private,1984 (40 yrs old),02-Oct,,http://pernet.in/about-us,Corporate,Small
Crystal Hues,3.9,(51 reviews),0,"IT Services & Consulting, Public, Corporate, B2B",Public,1989 (35 yrs old),51-200,,https://www.crystalhues.com/,Corporate,Small
Sitero,,,0,"Clinical Research / Contract Research, Corporate",,,,Bengaluru,https://sitero.com/,Corporate,
Data Patterns,3.9,(113 reviews),0,"Defence & Aerospace, IT Services & Consulting, Private, Corporate, B2B",Private,1985 (39 yrs old),1001-5000,,https://www.datapatternsindia.com/,Corporate,Medium
Dynakode Technology,4.4,(8 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2010 (14 yrs old),Nov-50,,https://dynakode.com/,Corporate,Small
Arvind Group,4.1,(1.2K reviews),656 followers ,"Textile & Apparel, Retail, Public, Corporate, B2C, Conglomerate, E-commerce",Public,1931 (93 yrs old),10001-50000,"Ahmedabad, Gujarat",http://www.arvind.com,Corporate,Large
Rochem Separation Systems,3.9,(208 reviews),0,"Industrial Equipment / Machinery, Corporate, B2B",,1991 (33 yrs old),201-500,,http://www.rochemindia.com,Corporate,Medium
Madras Medical Mission (MMM),4.4,(103 reviews),0,"Medical Services / Hospital, Private, Corporate, B2C",Private,1982 (42 yrs old),1001-5000,,http://www.madrasmedicalmission.org/,Corporate,Medium
LKQ INDIA,3.8,(219 reviews),309 followers ,"Auto Components, Private, Corporate, B2C, B2B",Private,1998 (26 yrs old),10001-50000,"Chicago, Illinois",https://www.lkqcorp.com/,Corporate,Large
ARR Services,5.0,(3 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2001 (23 yrs old),Nov-50,,http://www.arrservices.in/,Corporate,Small
Jadian Technologies,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2005 (19 yrs old),Nov-50,,https://www.jadian.in/,Corporate,Small
InnoApps,4.4,(26 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2016 (8 yrs old),Nov-50,"Noida, India",https://www.innoapps.com/,Corporate,Small
Brickwork India,3.7,(93 reviews),0,"Financial Services, Hardware & Networking, Private, Corporate, B2B",Private,2005 (19 yrs old),,,http://www.brickworkindia.com,Corporate,
Hykon,4.2,(78 reviews),0,"Electronics Manufacturing, Electrical Equipment, Public, Corporate, B2B",Public,1991 (33 yrs old),501-1000,,https://www.hykonindia.com,Corporate,Medium
Delhi Press,,,0,"Printing & Publishing, Private, Corporate, B2C",Private,1939 (85 yrs old),501-1000,,http://www.delhipress.in,Corporate,Medium
HERITAGE FOODS LIMITED,4.1,(1K reviews),55.8K followers ,"Food Processing, Retail, Public, Corporate, B2C",Public,1992 (32 yrs old),1001-5000,,https://www.heritagefoods.in/,Corporate,Medium
Indian Political Action Committee (IPAC),,,0,"Miscellaneous, Financial Services, Private, Corporate, B2B",Private,2015 (9 yrs old),201-500,,http://www.indianpac.com,Corporate,Medium
Vehant Technologies,4.2,(95 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2005 (19 yrs old),51-200,,http://www.vehant.com/,Corporate,Small
Lipi,3.6,(193 reviews),0,"Miscellaneous, IT Services & Consulting, Private, Corporate, B2B",Private,1993 (31 yrs old),1001-5000,,https://lipi.in/,Corporate,Medium
Teerthanker Mahaveer University (TMU),3.6,(129 reviews),0,"Education / Training, Corporate, B2C",,2008 (16 yrs old),501-1000,,https://www.tmu.ac.in,Corporate,Medium
Vellore Institute of Technology (VIT),4.2,(269 reviews),1.3K followers ,"Education / Training, Private, Corporate, B2C",Private,1984 (40 yrs old),1001-5000,,https://vit.ac.in/,Corporate,Medium
Mahindra Lifespaces,4.0,(245 reviews),8.1K followers ,"Real Estate, Engineering & Construction, Public, Corporate, B2C, B2B",Public,1994 (30 yrs old),201-500,,http://www.mahindralifespaces.com,Corporate,Medium
Praneeth,4.2,(31 reviews),0,"Real Estate, Private, Corporate, B2C",Private,2007 (17 yrs old),201-500,,http://www.praneeth.com,Corporate,Medium
Lal Baba Seamless Tubes (LBST),,,0,"Industrial Equipment / Machinery, Private, Corporate, B2B",Private,1964 (60 yrs old),501-1000,"Kolkata, West Bengal",https://lalbabagroup.com/,Corporate,Medium
